periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
202007,3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,34,0,0,1,33,0,0,0,0,0,0,32,1,31
202007,3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,74,9,8,1,56,0,0,0,3,1,2,177,81,96
202007,3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,202,4,7,2,189,0,0,0,0,0,0,296,16,280
202007,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,164,8,28,0,128,0,0,0,7,2,5,311,34,277
202007,3174081005,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,69,2,4,2,61,0,0,0,7,0,7,153,10,143
202007,3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,146,7,0,2,137,0,0,0,13,1,12,524,31,493
202007,3173041009,DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,134,6,6,2,120,0,0,0,2,0,2,130,5,125
202007,3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,257,1,2,1,253,0,0,0,2,0,2,83,8,75
202007,3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,162,6,4,1,151,1,0,1,1,0,1,268,27,241
202007,3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,128,3,5,2,118,2,0,2,1,0,1,326,130,196
202007,3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,107,6,4,2,95,0,0,0,5,0,5,359,38,321
202007,3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,373,6,22,1,344,0,0,0,36,9,27,900,92,808
202007,3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,121,14,5,2,100,0,0,0,0,0,0,457,28,429
202007,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,308,5,32,7,264,0,0,0,6,0,6,705,63,642
202007,3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,204,4,7,1,192,0,0,0,3,0,3,352,43,309
202007,3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,120,6,4,1,109,0,0,0,3,0,3,239,16,223
202007,3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,86,3,2,3,78,0,0,0,15,0,15,359,8,351
202007,3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,85,5,0,2,78,0,0,0,4,0,4,179,7,172
202007,3172021003,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,132,0,17,0,115,0,0,0,5,1,4,330,74,256
202007,3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,94,2,3,0,89,0,0,0,8,0,8,308,29,279
202007,3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,30,0,0,1,29,0,0,0,0,5,0,5,50,0
202007,3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,33,0,3,0,30,0,0,0,0,0,0,0,49,18
202007,3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,18,0,0,1,17,0,0,0,0,4,0,4,59,22
202007,3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,110,3,1,3,103,0,0,0,0,39,0,39,364,7
202007,3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,91,4,1,3,83,1,0,1,0,11,0,11,314,27
202007,3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,134,4,1,4,125,0,0,0,0,23,0,23,326,12
202007,3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,17,1,1,0,15,0,0,0,0,0,0,0,49,6
202007,3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,42,0,0,3,39,0,0,0,0,7,0,7,135,13
